Text,Score,Cleaned_Text
الذكاء الاصطناعي والذي يُعرف اختصارًا بـ AI هو تقنية ذات قدرات حل تشبه قدرات الإنسان في حل المشكلات. يبدو أن الذكاء الاصطناعي في العمل يحاكي الذكاء البشري - يمكنه التعرف على الصور وكتابة القصائد وإجراء تنبؤات قائمة على البيانات.,7.0,ذكء صطناع عرف خصر قني قدر تشب قدر ءنس شكل بدو ذكء صطناع عمل يحك ذكء بشر يمك عرف صور كتب قصءد ءجراء نبء قءم بين
يعرف الذكاء الاصطناعي بأنه الذكاء الذي تبديه الآلات والبرامج بما يحاكي القدرات الذهنية البشرية وأنماط عملها، مثل القدرة على التعلم والاستنتاج ورد الفعل على أوضاع لم تبرمج في الآلة، كما أنه اسم لحقل أكاديمي يعنى بكيفية صنع حواسيب وبرامج قادرة على اتخاذ سلوك ذكي.,8.0,عرف ذكء صطناع بءن ذكء بده ءءل رمج يحك قدر ذهن بشر ءنماط عملها، قدر علم ناج فعل ءوضاع رمج ءءلة، ءنه اسم حقل ءكاديم عنى بكف صنع حواسيب رمج قدر تخذ سلك ذكي
الذكاء الاصطناعي تعبير يطلق على القدرات التي تبديها الآلات والبرامج، بما يحاكي القدرات الذهنية للبشر، مثل التعلم والاستنتاج ورد الفعل على أوضاع لم تبرمج في الآلة، كما أنه اسم لحقل أكاديمي معني بكيفية صنع حواسيب وبرامج قادرة على اتخاذ سلوك ذكي.,9.0,ذكء صطناع عبر طلق قدر تبد ءءل رامج، يحك قدر ذهن شر، علم ناج فعل ءوضاع رمج ءءلة، ءنه اسم حقل ءكاديم عني بكف صنع حواسيب رمج قدر تخذ سلك ذكي
يرتبط مفهوم الذكاء الاصطناعي (بالإنجليزية: Artificial Intelligence) بالذكاء المرتبط بالأجهزة الرقمية أو الإلكترونية مثل؛ الكمبيوتر، الأجهزة الخلوية أو الروبوتات، ويعبر الذكاء الاصطناعي عن قدرة هذه الأجهزة الرقمية على أداء المهمات المرتبطة بالكائنات الذكية.[١],8.0,ربط فهم ذكء صطناع ءنجليزية ذكء ربط ءجهز رقم ءلكترونية ثل؛ كمبيوتر، ءجهز خلي روبوتات، عبر ذكء صطناع قدر ءجهز رقم ءدء مهم ربط كءن ذكية١
ينطبق مصطلح الذكاء الاصطناعي على الأنظمة التي تتمتع بالعمليات الفكرية للإنسان مثل؛ القدرة على التفكير، واكتشاف المعنى والتعلم من التجارب السابقة.[١],8.0,طبق صطلح ذكء صطناع ءنظم متع عمل فكر ءنس ثل؛ قدر كير، كشف عنى علم جرب قة١
ومن الأمثلة على العمليات التي تؤديها الأجهزة الرقمية والتي تعود لوجود الذكاء الاصطناعي؛ اكتشاف البراهين للنظريات الرياضية، ولعب الشطرنج، والتشخيص الطبي، ومحركات البحث على الشبكة، والتعرف على الصوت أو خط اليد.[١],8.0,ءمثل عمل تءد ءجهز رقم والتي تعد وجد ذكء اصطناعي؛ كشف بره نظر رياضية، لعب شطرنج، شخص طب، محر بحث شبكة، عرف صوت يد١
يعود تاريخ الذكاء الاصطناعي إلى الفلاسفة الكلاسيكيين في اليونان، وبدأت دراسة موضوع وجود الذكاء الاصطناعي في عام 1940 م في مدرسة فكرية تسمى الاتصالية، بحيث بدأت دراسة عملية التفكير فيها، وقدّم آلان تورينج ورقة بحثية يدرس فيها آلة للتفكير تقلد الإنسان دون وجود اختلافات ملحوظة فيها في عام 1950 م.[٢],7.0,يعد ارخ ذكء صطناع ءلى لسف كلس نن، بدء درس وضع وجد ذكء صطناع عام درس فكر سمى اتصالية، بحث بدء درس عمل فكر يه، قدم ءءل رينج ورق بحث درس ءءل فكر قلد ءنس وجد خلف لحظ عام
جاء هودجكين هكسلي بعده ليقدم نموذج يحاكي دماغ الإنسان على شكل شبكة كهربائية تمثل الخلايا العصبية، وتيار كهربائي يحاكي النبضات التي تشغل أو توقف الخلايا، وساعدت هذه النماذج والدراسات على إطلاق مفهوم الذكاء الاصطناعي عام 1956م في مؤتمر أقامته كلية دارتموث.[٢],7.0,جاء هودج هكسل بعد قدم وذج يحك دمغ ءنس شكل شبك كهرباءية مثل خلا عصبية، تير كهرباء يحك نبض شغل وقف خلايا، سعد اذج درس ءطلاق فهم ذكء صطناع عام ءمر ءقم كلة دارتموث٢
نظرًا لعدم توفر السرعات والسعات التخزينية العالية توقفت أبحاث الذكاء الاصطناعي لفترة طويلة، ثم استؤنفت في الثمانينات بعد تقديم الولايات المتحدة الأمريكية وبريطانيا مشروع الجيل الخامس في تكنولوجيا الكمبيوتر.[٢],6.0,نظر عدم وفر سرع سعت خزن علي وقف ءبحاث ذكء صطناع فتر طويلة، ءنف ثمن قدم ولي تحد ءمر برط شرع جيل خمس كنولوج كمبيوتر٢
في بداية التسعينات حولت أبحاث الذكاء الاصطناعي مجالها إلى ما يسمى بالوكيل الذكي، والذي يستخدم في خدمات استرداد الأخبار، والتسوق عبر الإنترنت وتصفح الويب، ولا يزال الباحثون يحاولون استخدام الذكاء الاصطناعي في مجالات غير مسبوقة مثل؛ المساعدات المادية التي تقدمها الروبوتات، وبرامج خدمة العملاء، والرد على الهاتف وغيرها.[٢],9.0,بدي سعن حول ءبحاث ذكء صطناع جال ءلى سمى وكل ذك، خدم خدم ردد ءخبار، تسق عبر ءنتر صفح يب، يزل بحث حول خدم ذكء صطناع جال سبق ثل؛ سعد ادة قدم روبوتات، رمج خدم عملاء، لرد هتف غيرها٢
يعمل الذكاء الاصطناعي في البيئة الرقمية من خلال توفر الأجهزة الرقمية والبرامج المتخصصة لتحليل وتصميم خوارزميات، والتعلم الآلي، وبشكل عام فإنّ نظام الذكاء الاصطناعي يستوعب كميات كبيرة من البيانات التدريبية.[٣],5.0,عمل ذكء صطناع بيء رقم خلل وفر ءجهز رقم رمج تخصص حلل صمم خوارزميات، علم ءءلي، شكل عام فءن نظم ذكء صطناع وعب كمي كبر بين تدريبية٣
تستخدم البيانات التدريبية في تكوين الارتباطات والأنماط التي تستخدم فيما بعد في بناء التنبؤات المستقبلية، مثل الرد الآلي في الروبوتات الذكية، وعملية تحديد الكائنات في الصور ووصفها من خلال مراجعة ملايين الأمثلة المحفوظة لدى الجهاز الذكي.[٣],7.0,خدم بين درب تكو ربط ءنماط خدم بنء نبء مستقبلية، لرد ءءل روبو ذكية، عمل حدد كءن صور وصف خلل رجع لاي ءمثل حفظ جهز ذك٣
"يدخل الذكاء الاصطناعي في العديد من المجالات الإلكترونية والرقمية، وهو موجود على أشكال مختلفة وفي أجهزة كثيرة، بحيث يحاكي الذكاء الموجود في العقل البشري، ويندرج الذكاء الاصطناعي تحت فئتين رئيسيتين، وهما كالآتي:
",7.0,دخل ذكء صطناع عدد جال ءلكترونية رقمية، وجد ءشكال خلف وفي ءجهز كثيرة، بحث يحك ذكء وجد عقل شر، درج ذكء صطناع فءت رءيسيتين، وهم ءءت
يعرف الذكاء الاصطناعي الضيق أيضًا باسم الذكاء الاصطناعي الضعيف، وهو نوع من أنواع الذكاء التي تحاكي الذكاء البشري ولكنه يختص بنوع واحد ومحدود من الذكاء، ويركز الذكاء الاصطناعي الضيق على أداء نوع واحد من المهمات ولكن بشكل جيد جدًا، بحيث يركز على تنفيذ مهمة واحدة باحترافية، ولكنه يعمل في ظل قيود أكثر بكثير من الذكاء البشري.[٤],5.0,عرف ذكء صطناع ضيق ءيض بسم ذكء صطناع ضعيف، نوع ءنواع ذكء حكي ذكء بشر ولك ختص بنع حدد ذكء، ركز ذكء صطناع ضيق ءدء نوع مهم شكل جيد جد، بحث ركز نفذ همة وحد باحترافية، ولك عمل قيد ءكثر كثر ذكء شر٤
