Text,Score
الذكاء الاصطناعي والذي يُعرف اختصارًا بـ AI هو تقنية ذات قدرات حل تشبه قدرات الإنسان في حل المشكلات. يبدو أن الذكاء الاصطناعي في العمل يحاكي الذكاء البشري - يمكنه التعرف على الصور وكتابة القصائد وإجراء تنبؤات قائمة على البيانات.,7.0
يعرف الذكاء الاصطناعي بأنه الذكاء الذي تبديه الآلات والبرامج بما يحاكي القدرات الذهنية البشرية وأنماط عملها، مثل القدرة على التعلم والاستنتاج ورد الفعل على أوضاع لم تبرمج في الآلة، كما أنه اسم لحقل أكاديمي يعنى بكيفية صنع حواسيب وبرامج قادرة على اتخاذ سلوك ذكي.,8.0
الذكاء الاصطناعي تعبير يطلق على القدرات التي تبديها الآلات والبرامج، بما يحاكي القدرات الذهنية للبشر، مثل التعلم والاستنتاج ورد الفعل على أوضاع لم تبرمج في الآلة، كما أنه اسم لحقل أكاديمي معني بكيفية صنع حواسيب وبرامج قادرة على اتخاذ سلوك ذكي.,9.0
يرتبط مفهوم الذكاء الاصطناعي (بالإنجليزية: Artificial Intelligence) بالذكاء المرتبط بالأجهزة الرقمية أو الإلكترونية مثل؛ الكمبيوتر، الأجهزة الخلوية أو الروبوتات، ويعبر الذكاء الاصطناعي عن قدرة هذه الأجهزة الرقمية على أداء المهمات المرتبطة بالكائنات الذكية.[١],8.0
ينطبق مصطلح الذكاء الاصطناعي على الأنظمة التي تتمتع بالعمليات الفكرية للإنسان مثل؛ القدرة على التفكير، واكتشاف المعنى والتعلم من التجارب السابقة.[١],8.0
ومن الأمثلة على العمليات التي تؤديها الأجهزة الرقمية والتي تعود لوجود الذكاء الاصطناعي؛ اكتشاف البراهين للنظريات الرياضية، ولعب الشطرنج، والتشخيص الطبي، ومحركات البحث على الشبكة، والتعرف على الصوت أو خط اليد.[١],8.0
يعود تاريخ الذكاء الاصطناعي إلى الفلاسفة الكلاسيكيين في اليونان، وبدأت دراسة موضوع وجود الذكاء الاصطناعي في عام 1940 م في مدرسة فكرية تسمى الاتصالية، بحيث بدأت دراسة عملية التفكير فيها، وقدّم آلان تورينج ورقة بحثية يدرس فيها آلة للتفكير تقلد الإنسان دون وجود اختلافات ملحوظة فيها في عام 1950 م.[٢],7.0
جاء هودجكين هكسلي بعده ليقدم نموذج يحاكي دماغ الإنسان على شكل شبكة كهربائية تمثل الخلايا العصبية، وتيار كهربائي يحاكي النبضات التي تشغل أو توقف الخلايا، وساعدت هذه النماذج والدراسات على إطلاق مفهوم الذكاء الاصطناعي عام 1956م في مؤتمر أقامته كلية دارتموث.[٢],7.0
نظرًا لعدم توفر السرعات والسعات التخزينية العالية توقفت أبحاث الذكاء الاصطناعي لفترة طويلة، ثم استؤنفت في الثمانينات بعد تقديم الولايات المتحدة الأمريكية وبريطانيا مشروع الجيل الخامس في تكنولوجيا الكمبيوتر.[٢],6.0
في بداية التسعينات حولت أبحاث الذكاء الاصطناعي مجالها إلى ما يسمى بالوكيل الذكي، والذي يستخدم في خدمات استرداد الأخبار، والتسوق عبر الإنترنت وتصفح الويب، ولا يزال الباحثون يحاولون استخدام الذكاء الاصطناعي في مجالات غير مسبوقة مثل؛ المساعدات المادية التي تقدمها الروبوتات، وبرامج خدمة العملاء، والرد على الهاتف وغيرها.[٢],9.0
يعمل الذكاء الاصطناعي في البيئة الرقمية من خلال توفر الأجهزة الرقمية والبرامج المتخصصة لتحليل وتصميم خوارزميات، والتعلم الآلي، وبشكل عام فإنّ نظام الذكاء الاصطناعي يستوعب كميات كبيرة من البيانات التدريبية.[٣],5.0
تستخدم البيانات التدريبية في تكوين الارتباطات والأنماط التي تستخدم فيما بعد في بناء التنبؤات المستقبلية، مثل الرد الآلي في الروبوتات الذكية، وعملية تحديد الكائنات في الصور ووصفها من خلال مراجعة ملايين الأمثلة المحفوظة لدى الجهاز الذكي.[٣],7.0
"يدخل الذكاء الاصطناعي في العديد من المجالات الإلكترونية والرقمية، وهو موجود على أشكال مختلفة وفي أجهزة كثيرة، بحيث يحاكي الذكاء الموجود في العقل البشري، ويندرج الذكاء الاصطناعي تحت فئتين رئيسيتين، وهما كالآتي:
",7.0
يعرف الذكاء الاصطناعي الضيق أيضًا باسم الذكاء الاصطناعي الضعيف، وهو نوع من أنواع الذكاء التي تحاكي الذكاء البشري ولكنه يختص بنوع واحد ومحدود من الذكاء، ويركز الذكاء الاصطناعي الضيق على أداء نوع واحد من المهمات ولكن بشكل جيد جدًا، بحيث يركز على تنفيذ مهمة واحدة باحترافية، ولكنه يعمل في ظل قيود أكثر بكثير من الذكاء البشري.[٤],5.0
يعرف الذكاء الاصطناعي العام أيضًا باسم الذكاء الاصطناعي القوي، وهو نوع من أنواع الذكاء الموجود في الآلات والأجهزة الذكية، ويمتاز الذكاء الاصطناعي العام بأنه نوع من الذكاء الموجود في الآلة والتي يكسبها ذكاءً عامًا مثل الإنسان، بحيث يستخدم هذا الذكاء في حل أي مشكلة.[٤],5.0
ومن أمثلة الأجهزة التي تتمتع بالذكاء الاصطناعي العام؛ الروبوتات التي تستخدم لإنجاز مهام عديدة والتي تتخذ قراراتها بناءً على الموقف، ولكن بناء الروبوتات التي تتمتع بذكاء شبيه بالموجود لدى الإنسان لا زال أمرًا صعبًا وبحاجة لبناء شبكات عصبية كبيرة ومعقدة كالموجودة في الدماغ.[٤],8.0
تعرف الآلات التفاعلية بأنها أبسط مستوى موجود للروبوت، إذ إنّها آلة مصممة للتعامل مع نوع واحد من البيانات والرد على المواقف الحالية فقط،[٥] وهي آلات غير قادرة على إنشاء الذكريات أو استخدام المعلومات الحالية لبناء واتخاذ القرارات المستقبلية للتحسين من مستواها أو تطوير ذكائها، وهي فقط مصممة للرد على الموقف الحالي.[٦],5.0
من أمثلة الآلات التفاعلية؛ الآلات المصممة للعب الشطرنج ضد الإنسان مثل (Deep Blue) من (IBM)، حيث إنّ هذه الآلة مصممة للرد على حركات اللاعب من خلال تقييم القطع على رقعة الشطرنج وتحريكها وفقًا لاستراتيجيات اللعب المشفرة لديها.[٥],4.0
تعد آلة الذاكرة المحدودة آلة قادرة على تخزين عدد محدود من المعلومات المبنية على البيانات التي تعاملت معها آلة الذاكرة المحدودة سابقًا، بحيث يمكن لآلة الذاكرة المحدودة بناء المعرفة عن طريق الذاكرة وذلك عند اقترانها مع البيانات المبرمجة مسبقًا لديها.[٥],4.0
